theme_no,item,description,amount_eur,shared
1,National symposium / conference / workshop,National Symposium incl. General Assembly each year — € 23.000 × 4,92000,no
1,Travel and accommodation,(International) travel and accommodation incl. conference visit,3000,yes
2,Hardware,Running monitor and reporting services — SURF Research Cloud VMs (€ 5.000 × 4 years),20000,yes
2,Work by third parties,Development of the monitors for reporting,40000,yes
2,Travel and accommodation,(International) travel and accommodation incl. conference visit,3000,yes
2,Training and course,Universities attending courses on metadata enrichment and full-text capture (e.g. JISC or OpenAIRE) — 15 persons × € 1.800,27000,yes
2,Work by third parties,"Legal support, e.g. report on licencing and copyright of metadata and full text — € 300/h × 70 hours",21000,yes
3,Hardware,Running monitor and reporting services — SURF Research Cloud VMs (€ 5.000 × 4 years),20000,yes
3,Work by third parties,Development of the monitors for reporting,40000,yes
3,Training and course,Universities attending courses on metadata enrichment and full-text capture (e.g. JISC or OpenAIRE) — 15 persons × € 1.800,27000,yes
3,Work by third parties,"Legal support, e.g. report on licencing and copyright of metadata and full text — € 300/h × 70 hours",21000,yes
4,Hardware,Running monitor and reporting services — SURF Research Cloud VMs (€ 5.000 × 4 years),20000,yes
4,Work by third parties,Development of the monitors for reporting,40000,yes
4,Work by third parties,"Legal support, e.g. report on licencing and copyright of metadata and full text — € 300/h × 70 hours",21000,yes
5,Hardware,Running monitor and reporting services — SURF Research Cloud VMs (€ 5.000 × 4 years),20000,yes
5,Work by third parties,Development of the monitors for reporting,40000,yes
6,Work by third parties,Further development of the NL Research Portal,50000,no
